customer_id,full_name,city,country,film_title,category,film_length,rental_id,rental_date,return_date,revenue,store_id,inventory_id,staff_id,rental_duration,date,time,year_month
416,Pinson Jeffery,Dadu,Pakistan,Giant Troopers,Children,102,1158,2005-06-14 22:53:33,2005-06-18 21:37:33,2.99,2,1632,2,3,2005-06-14,22:53:33,2005-06
516,Noe Elmer,Battambang,Cambodia,Wash Heavenly,Foreign,161,1159,2005-06-14 22:55:13,2005-06-17 02:11:13,4.99,2,4395,2,2,2005-06-14,22:55:13,2005-06
239,Romero Minnie,Ciomas,Indonesia,Name Detective,Games,178,1160,2005-06-14 23:00:34,2005-06-18 01:58:34,4.99,1,2795,1,3,2005-06-14,23:00:34,2005-06
592,Roush Terrance,Szkesfehrvr,Hungary,Truman Crazy,Action,92,1163,2005-06-14 23:12:46,2005-06-23 21:53:46,6.99,2,4209,2,8,2005-06-14,23:12:46,2005-06
49,Edwards Joyce,Jedda,Saudi Arabia,Sleuth Orient,Games,87,1164,2005-06-14 23:16:26,2005-06-16 21:00:26,0.99,1,3691,1,1,2005-06-14,23:16:26,2005-06
264,May Gwendolyn,Higashiosaka,Japan,None Spiking,Sci-Fi,83,1165,2005-06-14 23:16:27,2005-06-20 02:40:27,3.99,2,2855,2,5,2005-06-14,23:16:27,2005-06
46,Campbell Catherine,Moscow,Russian Federation,Maiden Home,New,138,1166,2005-06-14 23:17:03,2005-06-15 20:43:03,4.99,1,2508,1,0,2005-06-14,23:17:03,2005-06
481,Devore Herman,Mwanza,Tanzania,Wagon Jaws,Documentary,152,1168,2005-06-14 23:35:09,2005-06-19 03:20:09,2.99,2,4368,2,4,2005-06-14,23:35:09,2005-06
139,Dixon Amber,Touliu,Taiwan,Divine Resurrection,Games,100,1169,2005-06-14 23:42:56,2005-06-16 04:02:56,2.99,2,1062,2,1,2005-06-14,23:42:56,2005-06
595,Gunderson Terrence,Jinzhou,China,Lost Bird,Foreign,98,1170,2005-06-14 23:47:35,2005-06-17 05:28:35,2.99,2,2444,2,2,2005-06-14,23:47:35,2005-06
191,Greene Jeanette,Novoterkassk,Russian Federation,Disturbing Scarface,Sci-Fi,94,1173,2005-06-14 23:54:46,2005-06-19 23:26:46,2.99,2,1050,2,4,2005-06-14,23:54:46,2005-06
95,Bryant Paula,Pathankot,India,Minority Kiss,Music,59,1174,2005-06-15 00:12:51,2005-06-21 02:10:51,2.99,2,2653,2,6,2005-06-15,00:12:51,2005-06
197,Peters Sue,Changzhou,China,Reap Unfaithful,Horror,136,1175,2005-06-15 00:15:15,2005-06-20 19:23:15,2.99,2,3255,2,5,2005-06-15,00:15:15,2005-06
512,Vines Cecil,London,United Kingdom,Moonshine Cabin,Games,171,1176,2005-06-15 00:28:37,2005-06-21 21:42:37,6.99,1,2715,1,6,2005-06-15,00:28:37,2005-06
210,Oliver Ella,Aden,Yemen,Hedwig Alter,Comedy,169,1177,2005-06-15 00:33:04,2005-06-16 03:47:04,2.99,2,1897,2,1,2005-06-15,00:33:04,2005-06
119,Marshall Sherry,Shubra al-Khayma,Egypt,Connecticut Tramp,Sci-Fi,172,1179,2005-06-15 00:36:50,2005-06-22 22:09:50,7.99,1,816,1,7,2005-06-15,00:36:50,2005-06
432,Burk Edwin,Newcastle,South Africa,Pluto Oleander,New,84,1180,2005-06-15 00:39:01,2005-06-21 22:44:01,5.99,2,3119,2,6,2005-06-15,00:39:01,2005-06
546,Knott Kelly,Sanya,China,Packer Madigan,Animation,84,1181,2005-06-15 00:42:17,2005-06-19 03:36:17,1.99,1,2973,1,4,2005-06-15,00:42:17,2005-06
196,Austin Alma,Mannheim,Germany,Divine Resurrection,Games,100,1182,2005-06-15 00:45:21,2005-06-22 03:52:21,5.99,1,1061,1,7,2005-06-15,00:45:21,2005-06
1,Smith Mary,Sasebo,Japan,Musketeers Wait,Classics,73,1185,2005-06-15 00:54:12,2005-06-23 02:42:12,5.99,1,2785,1,8,2005-06-15,00:54:12,2005-06
